ciclo,nov,dic,ene,feb,mar,abr,may,jun,jul,ago,sep,oct
89-90,0,0,0,0,0,0,0,0,0,0,0,852.2
90-91,0,0,0,0,0,0,0,0,0,0,0,821.5
91-92,0,0,0,0,0,0,0,0,0,0,0,875.9
92-93,0,0,0,0,0,0,0,0,0,0,0,663
93-94,0,0,0,0,0,0,0,0,0,0,0,670
94-95,0,0,0,0,0,0,0,0,0,0,0,716.4
95-96,0,0,0,0,0,0,0,0,0,0,0,647.5
96-97,0,0,0,0,0,0,0,0,0,0,0,645.8
97-98,0,0,0,0,0,0,0,0,0,0,0,810.9
98-99,0,0,0,0,0,0,0,0,0,0,0,494.3
99-00,0,0,0,0,0,0,0,0,0,0,0,560.7
00-01,0,0,0,0,0,0,0,0,0,0,0,742.7
01-02,0,0,0,0,0,0,0,0,0,0,0,803.8
02-03,47.85,0.46,13.97,1.45,1.23,5.72,28.78,157,230.08,165.37,230.66,69.23
03-04,8.86,0,30.59,0.09,17.86,3.42,65.44,186.44,142.76,169.04,219.28,41.85
04-05,2.310426667,7.800223333,12.68802833,11.103625,15.44949167,2.72215,6.602443333,33.14869667,204.7919933,159.9219067,71.57636,25.83694363
05-06,1.329137,0.300325,16.62388267,0.231802667,3.700198333,9.745084,80.948338,77.703107,135.450472,211.7736207,130.0167653,101.0249613
06-07,13.57959333,7.450213333,12.69256,19.45529,3.31853,9.925946667,28.30865833,154.4583133,207.1591,133.6517773,122.848054,22.95153567
07-08,11.70670567,5.419603,0.821083333,1.912548333,1.188055,13.20499467,20.04507767,142.4447763,205.7811955,215.134449,108.6288963,18.82971267
08-09,0.56771,0.57534,7.932167,0.8094,3.977951,4.47385,49.632221,112.45026,106.514437,115.87286,205.3357,52.70409
09-10,0.52662,8.52954,33.66259,151.77665,0.17572,5.2222,14.58264,96.87113,247.58793,123.6664062,116.702665,1.8954
10-11,0.902026,0,0.8817715,0.4228,1.2279829,7.8328904,10.1208264,88.5970832,142.138033,109.41548,73.40672,46.76864
11-12,4.018599,0.18956,6.261234,57.777464,5.57409,1.20081,14.601192,100.736752,171.643729,137.686404,72.93406,13.28588
12-13,18.51531,1.98033,10.92464,0.62735,4.76218,1.94499,34.23396,106.5933,206.57221,101.47252,191.39777,59.91491
13-14,25.48426,31.95655,15.33849,15.157446,15.923698,9.796352,75.080674,154.06172,123.12711,130.76526,111.225612,74.605754
14-15,12.31604,7.31306,4.11879,14.8633,124.89394,18.28647,98.02177,137.7012,156.438013,101.732606,135.018335,59.810987
15-16,4.675486,13.309269,6.78454,3.19693,21.8355,10.226282,42.415079,117.123623,170.40609,202.70077,80.746818,31.789432
16-17,31.983219,4.251685,0.817073,0.918323,19.949789,4.889063,27.974878,102.443159,192.374332,170.753797,138.159779,19.965774
